Point 239 --> || t = 509.7000000000 || max_dvdt = 15.6455144243 ||
Point 240 --> || t = 509.7000000000 || max_dvdt = 15.2546108070 ||
Point 241 --> || t = 509.8000000000 || max_dvdt = 15.5739480995 ||
Point 242 --> || t = 509.8000000000 || max_dvdt = 15.7448046016 ||
Point 243 --> || t = 509.8000000000 || max_dvdt = 15.5253444262 ||
Point 244 --> || t = 509.9000000000 || max_dvdt = 15.2552215101 ||
Point 245 --> || t = 509.9000000000 || max_dvdt = 15.7110397812 ||
Point 246 --> || t = 509.9000000000 || max_dvdt = 15.7097935718 ||
Point 247 --> || t = 509.9000000000 || max_dvdt = 15.3715544784 ||
Point 248 --> || t = 510.0000000000 || max_dvdt = 15.5106645258 ||
Point 249 --> || t = 510.0000000000 || max_dvdt = 15.7761559048 ||
Point 250 --> || t = 510.0000000000 || max_dvdt = 15.6329990691 ||
Point 251 --> || t = 510.0000000000 || max_dvdt = 15.2036647617 ||
Point 252 --> || t = 510.1000000000 || max_dvdt = 15.6847341007 ||
Point 253 --> || t = 510.1000000000 || max_dvdt = 15.7911902308 ||
Point 254 --> || t = 510.1000000000 || max_dvdt = 15.5378208303 ||
Point 255 --> || t = 510.2000000000 || max_dvdt = 15.3866628536 ||
Point 256 --> || t = 510.2000000000 || max_dvdt = 15.7994654824 ||
Point 257 --> || t = 510.2000000000 || max_dvdt = 15.7828433485 ||
Point 258 --> || t = 510.2000000000 || max_dvdt = 15.4516750825 ||
Point 259 --> || t = 510.3000000000 || max_dvdt = 15.5936612111 ||
Point 260 --> || t = 510.3000000000 || max_dvdt = 15.8825777878 ||
Point 261 --> || t = 510.3000000000 || max_dvdt = 15.7829298659 ||
Point 262 --> || t = 510.3000000000 || max_dvdt = 15.4072614745 ||
Point 263 --> || t = 510.4000000000 || max_dvdt = 15.7506363569 ||
Point 264 --> || t = 510.4000000000 || max_dvdt = 15.9660320659 ||
Point 265 --> || t = 510.4000000000 || max_dvdt = 15.8284084103 ||
Point 266 --> || t = 510.4000000000 || max_dvdt = 15.4440424796 ||
Point 267 --> || t = 510.5000000000 || max_dvdt = 15.8775803568 ||
Point 268 --> || t = 510.5000000000 || max_dvdt = 16.0813372078 ||
Point 269 --> || t = 510.5000000000 || max_dvdt = 15.9591559911 ||
Point 270 --> || t = 510.5000000000 || max_dvdt = 15.6083997625 ||
Point 271 --> || t = 510.6000000000 || max_dvdt = 15.9735791910 ||
Point 272 --> || t = 510.6000000000 || max_dvdt = 16.2444136013 ||
Point 273 --> || t = 510.6000000000 || max_dvdt = 16.2067312575 ||
Point 274 --> || t = 510.6000000000 || max_dvdt = 15.9465125535 ||
Point 275 --> || t = 510.7000000000 || max_dvdt = 15.9677491737 ||
Point 276 --> || t = 510.7000000000 || max_dvdt = 16.4085389825 ||
Point 277 --> || t = 510.7000000000 || max_dvdt = 16.5518615359 ||
Point 278 --> || t = 510.7000000000 || max_dvdt = 16.4680899185 ||
Point 279 --> || t = 510.7000000000 || max_dvdt = 16.2247969505 ||
Point 280 --> || t = 510.8000000000 || max_dvdt = 16.3274652549 ||
Point 281 --> || t = 510.8000000000 || max_dvdt = 16.7825903329 ||
Point 282 --> || t = 510.8000000000 || max_dvdt = 17.0058607008 ||
Point 283 --> || t = 510.8000000000 || max_dvdt = 17.0490868687 ||
Point 284 --> || t = 510.8000000000 || max_dvdt = 16.9612091339 ||
Point 285 --> || t = 510.8000000000 || max_dvdt = 16.7839832987 ||
Point 286 --> || t = 510.9000000000 || max_dvdt = 16.7713900452 ||
Point 287 --> || t = 510.9000000000 || max_dvdt = 17.2575943586 ||
Point 288 --> || t = 510.9000000000 || max_dvdt = 17.5925590962 ||
Point 289 --> || t = 510.9000000000 || max_dvdt = 17.8070008553 ||
Point 290 --> || t = 510.9000000000 || max_dvdt = 17.9293945083 ||
Point 291 --> || t = 510.9000000000 || max_dvdt = 17.9844716867 ||
Point 292 --> || t = 510.9000000000 || max_dvdt = 17.9927540784 ||
Point 293 --> || t = 510.9000000000 || max_dvdt = 17.9707167657 ||
Point 294 --> || t = 510.9000000000 || max_dvdt = 17.9312621776 ||
Point 295 --> || t = 510.9000000000 || max_dvdt = 17.8842935247 ||
Point 296 --> || t = 510.9000000000 || max_dvdt = 17.8372680487 ||
Point 297 --> || t = 510.9000000000 || max_dvdt = 17.7956734164 ||
Point 298 --> || t = 510.9000000000 || max_dvdt = 17.7634079096 ||
Point 299 --> || t = 510.9000000000 || max_dvdt = 17.7430639966 ||
Point 300 --> || t = 510.9000000000 || max_dvdt = 17.7361223730 ||
Point 301 --> || t = 507.3000000000 || max_dvdt = 13.3659802380 ||
Point 302 --> || t = 507.3000000000 || max_dvdt = 13.7596785693 ||
Point 303 --> || t = 507.3000000000 || max_dvdt = 13.7188208437 ||
Point 304 --> || t = 507.4000000000 || max_dvdt = 13.7400856004 ||
Point 305 --> || t = 507.4000000000 || max_dvdt = 14.2773464297 ||
Point 306 --> || t = 507.4000000000 || max_dvdt = 14.3926468779 ||
Point 307 --> || t = 507.4000000000 || max_dvdt = 14.1805000586 ||
Point 308 --> || t = 507.5000000000 || max_dvdt = 14.4452718643 ||
Point 309 --> || t = 507.5000000000 || max_dvdt = 14.7866684482 ||
Point 310 --> || t = 507.5000000000 || max_dvdt = 14.7487789200 ||
Point 311 --> || t = 507.5000000000 || max_dvdt = 14.4290304967 ||
Point 312 --> || t = 507.6000000000 || max_dvdt = 14.8143423254 ||
Point 313 --> || t = 507.6000000000 || max_dvdt = 15.0075470481 ||
Point 314 --> || t = 507.6000000000 || max_dvdt = 14.8550759109 ||
Point 315 --> || t = 507.7000000000 || max_dvdt = 14.5739326645 ||
Point 316 --> || t = 507.7000000000 || max_dvdt = 15.0445119859 ||
Point 317 --> || t = 507.7000000000 || max_dvdt = 15.1058427710 ||
Point 318 --> || t = 507.7000000000 || max_dvdt = 14.8511352535 ||
Point 319 --> || t = 507.8000000000 || max_dvdt = 14.8928046310 ||
Point 320 --> || t = 507.8000000000 || max_dvdt = 15.2147007182 ||
Point 321 --> || t = 507.8000000000 || max_dvdt = 15.1495445128 ||
Point 322 --> || t = 507.8000000000 || max_dvdt = 14.7987489938 ||
Point 323 --> || t = 507.9000000000 || max_dvdt = 15.1504359079 ||
Point 324 --> || t = 507.9000000000 || max_dvdt = 15.3229429941 ||
Point 325 --> || t = 507.9000000000 || max_dvdt = 15.1363384465 ||
Point 326 --> || t = 508.0000000000 || max_dvdt = 14.8854684142 ||
Point 327 --> || t = 508.0000000000 || max_dvdt = 15.3387851749 ||
Point 328 --> || t = 508.0000000000 || max_dvdt = 15.3633507974 ||
Point 329 --> || t = 508.0000000000 || max_dvdt = 15.0630986928 ||
Point 330 --> || t = 508.1000000000 || max_dvdt = 15.1735862535 ||
Point 331 --> || t = 508.1000000000 || max_dvdt = 15.4541622463 ||
Point 332 --> || t = 508.1000000000 || max_dvdt = 15.3369742834 ||
Point 333 --> || t = 508.1000000000 || max_dvdt = 14.9342138537 ||
Point 334 --> || t = 508.2000000000 || max_dvdt = 15.3860443711 ||
Point 335 --> || t = 508.2000000000 || max_dvdt = 15.4968276963 ||
Point 336 --> || t = 508.2000000000 || max_dvdt = 15.2487903259 ||
Point 337 --> || t = 508.3000000000 || max_dvdt = 15.1406292019 ||
Point 338 --> || t = 508.3000000000 || max_dvdt = 15.5201763194 ||
Point 339 --> || t = 508.3000000000 || max_dvdt = 15.4702972032 ||
Point 340 --> || t = 508.3000000000 || max_dvdt = 15.1058323374 ||
Point 341 --> || t = 508.4000000000 || max_dvdt = 15.3861134010 ||
Point 342 --> || t = 508.4000000000 || max_dvdt = 15.5769039029 ||
Point 343 --> || t = 508.4000000000 || max_dvdt = 15.3803968934 ||
Point 344 --> || t = 508.5000000000 || max_dvdt = 15.0778031749 ||
Point 345 --> || t = 508.5000000000 || max_dvdt = 15.5464680501 ||
Point 346 --> || t = 508.5000000000 || max_dvdt = 15.5602568796 ||
Point 347 --> || t = 508.5000000000 || max_dvdt = 15.2344549520 ||
Point 348 --> || t = 508.6000000000 || max_dvdt = 15.3588155431 ||
Point 349 --> || t = 508.6000000000 || max_dvdt = 15.6233289090 ||
Point 350 --> || t = 508.6000000000 || max_dvdt = 15.4766780867 ||
Point 351 --> || t = 508.6000000000 || max_dvdt = 15.0406334728 ||
Point 352 --> || t = 508.7000000000 || max_dvdt = 15.5477619166 ||
